1,1491,東証２部,中外鉱業
2,1757,東証２部,クレアホールディングス
3,1783,ＪＡＳＤＡＱスタンダード,Ａ．Ｃホールディングス
4,1844,東証２部,大盛工業
5,2315,ＪＡＳＤＡＱスタンダード,ＳＪＩ
6,2666,ＪＡＳＤＡＱスタンダード,オートウェーブ
7,3011,東証２部,バナ－ズ
8,3250,ＪＡＳＤＡＱスタンダード,エー・ディー・ワークス
9,3318,ＪＡＳＤＡＱスタンダード,メガネスーパー
10,3323,ＪＡＳＤＡＱスタンダード,レカム
11,3350,ＪＡＳＤＡＱスタンダード,レッド・プラネット・ジャパン
12,3587,ＪＡＳＤＡＱスタンダード,プリンシバル・コーポレーション
13,3647,東証マザーズ,コネクトホールディングス
14,3719,ＪＡＳＤＡＱスタンダード,ジェクシード
15,3779,ＪＡＳＤＡＱスタンダード,ジェイ・エスコム　ホールディングス
16,38539,東証マザーズ,インフォテリア第１３回新株予約権
17,38569,東証マザーズ,リアルコム第１７回新株予約権
18,4744,東証マザーズ,メッツ
19,4798,東証２部特設注意,エル・シー・エーホールディングス
20,5103,東証２部,昭和ホールディングス
21,5721,東証１部,エス・サイエンス
22,5856,東証２部,東理ホールディングス
23,5955,東証２部,ヤマシナ
24,6494,ＪＡＳＤＡＱスタンダード,ＮＦＫホールディングス
25,6495,東証２部,宮入バルブ製作所
26,6819,ＪＡＳＤＡＱスタンダード,ソーシャル・エコロジー・プロジェクト
27,6835,東証２部,アライドテレシスホールディングス
28,69939,東証２部,アジアグロースキャピタル第１３回新株予約権
29,7527,ＪＡＳＤＡＱスタンダード,システムソフト
30,7571,ＪＡＳＤＡＱスタンダード,ヤマノホールディングス
31,7602,東証２部,カーチスホールディングス
32,7610,ＪＡＳＤＡＱスタンダード,テイツー
33,7638,ＪＡＳＤＡＱスタンダード,シーマ
34,7853,東証マザーズ,アジェット
35,8107,東証１部,キムラタン
36,8256,ＪＡＳＤＡＱスタンダード,プロルート丸光
37,8685,東証１部,ＡＩＧ
38,8704,ＪＡＳＤＡＱスタンダード,トレイダーズホールディングス
39,8710,東証１部,シティグループ・インク
40,8789,東証マザーズ,フィンテック　グローバル
41,8836,ＪＡＳＤＡＱスタンダード,ＲＩＳＥ
42,8893,ＪＡＳＤＡＱスタンダード,新日本建物
43,8894,東証２部,原弘産
44,8918,東証１部,ランド
45,8922,東証マザーズ,日本アセットマーケティング
46,9318,東証２部,アジア・アライアンス・ホールディングス
47,9399,東証マザーズ,新華ホールディングス・リミテッド
48,9423,ＪＡＳＤＡＱスタンダード,フォーバル・リアルストレート
49,9898,ＪＡＳＤＡＱスタンダード,サハダイヤモンド
50,99739,ＪＡＳＤＡＱスタンダード,小僧寿し第３回新株予約権
